"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/MLNode_activ_1_MJ040"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/MLNode_activ_2_MJ051"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/MLNode_activ_3_MJ059"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/Spleen_activ_1_MJ040"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/Spleen_activ_2_MJ051"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/Spleen_activ_3_MJ059"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/Spleen_naive_1_MJ059"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/Spleen_naive_2_MJ059"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/Spleen_naive_3_MJ059"
"1700021F05Rik"	5.74186590674943	6.28253595557056	5.53586577424576	5.06972220800483	5.10926109407624	5.02166700645466	4.59999520985074	4.70202037269908	5.31982688525586
"1700021K19Rik"	-0.320211619168616	-1.40959568315142	0.0147594670542759	-0.670093537703628	-0.450374887220818	-0.159678075410707	-0.71458796070221	-0.580718991613135	0.252858227124346
"1700025G04Rik"	-1.67516728006186	-1.2335149483288	-1.48631073080013	-0.984289665758433	-1.68317712884381	-1.26367260855825	0.494754776774373	0.366533708877833	1.12904889938386
"1700028E10Rik"	-0.891848834988955	-1.06528985612117	-1.03614973841197	-0.376937019716504	-0.435077124233963	-0.304872269690688	0.788278567038665	0.456093096676994	0.537168736346006
"1700028J19Rik"	1.18029338455075	1.64136541462776	1.44950841965409	1.09606289363945	1.65207522699557	0.701245315385136	0.899677170526623	0.779353903487459	-0.373635558619577
"1700030C10Rik"	0.325397261075543	-1.79299287391089	-0.195955281727105	-0.691516179412552	-1.79854605513337	-1.30331055009066	-0.205159778454657	-0.184610163109614	-1.21405249894817
"1700030K09Rik"	2.67858002434709	1.87655511086125	2.08665616554236	2.17328165352937	1.8309194250835	1.67624213158059	1.52817067765113	1.57187945684181	1.08689398822269
"1700037C18Rik"	3.47450653525654	3.88553703261301	3.50278338307493	3.01956836085777	2.97653000783144	2.44042016653127	3.28187119981359	2.96105817084265	3.50633466857225
"1700037H04Rik"	6.0570447803407	6.38780767485337	5.933183679458	5.82658754972445	6.1111685111469	5.95443974146563	5.18782521096559	5.12321705241894	4.87555442376356
"1700048O20Rik"	1.24458094250536	1.74540151514794	0.10257003788018	-0.617835646842508	0.139811486487129	-0.0542640695359208	-0.595862934922854	0.0843457328844911	-0.364662018801041
"1700052K11Rik"	1.37679344195665	0.63509936887312	0.757863352032177	1.73658721867193	1.56616023764139	1.89233549483149	1.68221367183771	1.53799207244616	1.25547583877707
"1700056E22Rik"	-1.14173969600225	-0.615736399324872	-0.989890700488208	1.31187722800584	0.999520138679565	1.78893063823468	3.40569531927095	3.06632443241558	3.93609585018991
"1700061G19Rik"	-2.28284017489009	-1.95987162905009	-4.26652772912328	-1.7583640892048	-2.46631405220504	-1.53235063586733	0.553492501391854	1.21678703779461	1.45114635616588
"1700066B19Rik"	0.556817362978955	1.35805278817096	0.110251120921522	0.702840309149811	1.10168975317137	-0.128659642578384	0.951603832605048	1.07186532549351	1.5975305659032
"1700066M21Rik"	-0.568457901999583	-1.81658534251065	-1.5099034513205	-1.69183446784875	-1.8142773293958	-2.23559194695315	-0.457572025724451	-0.637302350739001	-1.20374444985589
"1700086O06Rik"	0.722726064608852	1.20763896985282	0.874942529677337	0.524049285441372	0.736403122924163	0.0863380536463649	-0.210333315083522	-0.141083846254511	0.693246567810257
