"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"51"	"1700010I14Rik"	1878	-0.620537418277794	0.188957177665955	1.53428286171073	0.249710566574216	0.399262024328618
"52"	"1700012D01Rik"	695	0.770292868684638	0.316539014744587	3.35833098424416	0.103269058373706	0.220481799327992
"53"	"1700017B05Rik"	4934	-0.0295155084108417	5.46481722289214	0.0313414490308416	0.863770053907104	0.914580057078111
"54"	"1700019G17Rik"	3278	0.72191317124331	1.570025661755	5.5826923803534	0.0449807297269048	0.128241869662449
"55"	"1700020I14Rik"	1549	-0.43994640170768	4.97457108157762	6.73910703799439	0.0311419056667694	0.102554578687246
"56"	"1700021F05Rik"	898	-0.768509060186352	5.28391720677131	19.3046179195918	0.0021658388530482	0.0194758795715179
"57"	"1700021K19Rik"	5343	0.137871565142922	1.92699437286349	0.1605890453764	0.698840559465867	0.796571284261969
"58"	"1700025G04Rik"	9754	0.175350430427895	1.84719773044963	0.309888783260645	0.59259319389682	0.716728440003436
"59"	"1700028E10Rik"	2718	0.644990903752877	0.758286645038125	3.05132733499009	0.117841699947139	0.241462717714651
"60"	"1700028J19Rik"	1187	-0.252108087068676	1.50520657122027	0.596321076143876	0.461631480642789	0.606887740860397
"61"	"1700030C10Rik"	1724	-0.754752311298642	0.088583741774433	2.45338312469847	0.154939045357889	0.290119057786188
"62"	"1700030K09Rik"	2427	-0.304942842666348	3.2896360674301	2.22362164274505	0.173296597281451	0.313195432892342
"63"	"1700037C18Rik"	1097	-0.790193914040111	3.33112876443616	14.4135799465394	0.0050160072545113	0.032691517160347
"64"	"1700037H04Rik"	1241	-0.1436092018254	6.27548020838502	0.974866052004357	0.351668350541512	0.505941672293626
"65"	"1700048O20Rik"	1848	-1.20203148617593	1.45530986276975	8.60420604054127	0.0183768810899627	0.0736761701311801
"66"	"1700052K11Rik"	2413	0.824323465687954	2.6015369840941	10.590997782536	0.0112219938414978	0.0540860758414922
"67"	"1700056E22Rik"	967	2.32030792887689	0.607244259938036	27.233365431539	0.000739690179200296	0.00993795511349104
"68"	"1700061G19Rik"	2455	0.816597610416928	-0.835088880625396	1.2749412774669	0.290748319038762	0.443830569297549
"69"	"1700066B19Rik"	2504	-0.097425740526098	1.95025145256655	0.127591886930834	0.729949202561597	0.820026003271187
"70"	"1700066M21Rik"	3007	-0.617676479189587	0.0678646355592639	1.68336955346727	0.229741312153376	0.37732202082333
"71"	"1700086O06Rik"	1931	-0.46758443177901	1.60604677705815	2.35729740835571	0.1622842467253	0.299238874747513
"72"	"1700094D03Rik"	3097	-0.090452328941195	1.72292085225637	0.0931006901883616	0.767863481289128	0.847706997280469
"73"	"1700096K18Rik"	1449	0.340827094094888	0.822418536333299	0.607688313520476	0.457538271070529	0.603049288287111
"74"	"1700097N02Rik"	845	4.15594177171029	0.714904700481573	22.8055975261379	0.00130111555547109	0.014256658076393
"75"	"1700113A16Rik"	983	0.584706744248982	3.03405146011779	5.46856986876908	0.0467374271224806	0.131732176598008
