"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/MLNode_activ_1_MJ040"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/MLNode_activ_2_MJ051"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/MLNode_activ_3_MJ059"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/Spleen_activ_1_MJ040"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/Spleen_activ_2_MJ051"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/Spleen_activ_3_MJ059"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/Spleen_naive_1_MJ059"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/Spleen_naive_2_MJ059"	"/Users/alexrosenberg/home/projects/BALLESTEROS-TATO/2018_07_RNAseq_spleen_MLN_naive/andre_2020_reprocessed/counts/Spleen_naive_3_MJ059"
"1110051M20Rik"	3.41107225403422	3.33827182403257	3.24799720778588	3.3497718207131	3.16481095281168	3.40323442833118	3.70596900907849	3.95564772156898	3.1638121586494
"1110059E24Rik"	5.54428430566718	5.58498914583941	5.50287403949214	5.49825739850649	5.09618289549435	4.91609365022081	5.26080749983562	4.97332320480151	4.29301269532501
"1110059G10Rik"	4.83886750265025	5.42226757244766	4.74141290091915	4.73540339912674	4.54667930215231	4.34843447413821	4.70553923859923	4.9709312677249	5.08595231375938
"1110065P20Rik"	2.89245417728515	3.1412423613502	2.44832819610514	2.15439206710669	2.87282663723393	2.94420028076172	1.81911931566261	1.87836123293919	1.8121205643529
"1190002F15Rik"	-0.650768079071238	0.874297180291563	-0.346749745346322	2.45347991026059	1.43487639900429	2.04349754594062	3.98204981785348	4.12871487200846	5.36870161150423
"1190002N15Rik"	2.01709884051758	2.32021640557216	2.33302220971965	2.98267137989978	2.55128126585344	2.3025695037074	2.82259467750904	2.315439935329	2.81052278224912
"1190007I07Rik"	6.18243258406452	7.04840249585066	5.98304863672631	5.74258077327832	5.90587051814207	5.65032480246707	4.4165850259213	4.45223059886459	5.11325346837131
"1200014J11Rik"	4.02385689366312	3.97485184675468	4.06585150370706	4.33951023429269	4.11158823989345	4.41900015119284	4.90496947913548	4.57069925476059	4.86606263131461
"1300002E11Rik"	5.55955930872156	6.05574705603582	5.54789568716999	5.38951362954263	5.33789005467262	5.3115312499528	6.16868084141155	6.12823394811611	5.90909075813158
"1500011B03Rik"	4.70789874203032	5.23030163550972	5.07066791927488	4.75380003484213	4.73091948905674	4.65054808711653	6.24989065742855	6.32648298738309	6.35490662820687
"1500011K16Rik"	5.87575588857764	6.8371415975477	5.72495888365468	5.67565199308518	5.75560320944484	5.67512928901578	4.8723665473471	4.96493401714659	5.86587033194483
"1500012F01Rik"	7.22129481570114	7.72072966779939	7.16255715563013	7.4333484266638	7.51642656277034	7.86146750379063	6.66348047341142	6.64613611749758	7.88750030850101
"1500015A07Rik"	2.72191361303397	2.92148603038975	3.06909718049563	2.68583567763667	2.77880767620665	2.2670024267295	2.79708789487422	2.86657776206354	3.25161096450631
